,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
27,Lauv,Modern Loneliness,0.702,0.508,8,-7.105,1,0.035,0.144,0,0.108,0.143,82.009,audio_features,1eyek0KJEh2v5HQ9uQSybb,spotify:track:1eyek0KJEh2v5HQ9uQSybb,https://api.spotify.com/v1/tracks/1eyek0KJEh2v5HQ9uQSybb,https://api.spotify.com/v1/audio-analysis/1eyek0KJEh2v5HQ9uQSybb,252337,4
28,The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,audio_features,1oFAF1hdPOickyHgbuRjyX,spotify:track:1oFAF1hdPOickyHgbuRjyX,https://api.spotify.com/v1/tracks/1oFAF1hdPOickyHgbuRjyX,https://api.spotify.com/v1/audio-analysis/1oFAF1hdPOickyHgbuRjyX,191014,4
29,Doja Cat,Say So,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,audio_features,3Dv1eDb0MEgF93GpLXlucZ,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/tracks/3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/audio-analysis/3Dv1eDb0MEgF93GpLXlucZ,237893,4
30,DeJ Loaf,No Fear,0.614,0.682,11,-4.117,0,0.102,0.387,0,0.134,0.566,100.202,audio_features,2H881m3JRA8lpuuwaQL6zy,spotify:track:2H881m3JRA8lpuuwaQL6zy,https://api.spotify.com/v1/tracks/2H881m3JRA8lpuuwaQL6zy,https://api.spotify.com/v1/audio-analysis/2H881m3JRA8lpuuwaQL6zy,169853,4
31,The Kid LAROI,STAY (with Justin Bieber),0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,audio_features,5PjdY0CKGZdEuoNab3yDmX,spotify:track:5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX,https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX,141806,4
32,Ariana Grande,breathin,0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,audio_features,4OafepJy2teCjYJbvFE60J,spotify:track:4OafepJy2teCjYJbvFE60J,https://api.spotify.com/v1/tracks/4OafepJy2teCjYJbvFE60J,https://api.spotify.com/v1/audio-analysis/4OafepJy2teCjYJbvFE60J,198160,4
33,gianni & kyle,do u even miss me at all?,0.819,0.519,10,-7.16,0,0.0768,0.384,0,0.0898,0.452,100.039,audio_features,1AHf5FSofKcUw8tyKkccKF,spotify:track:1AHf5FSofKcUw8tyKkccKF,https://api.spotify.com/v1/tracks/1AHf5FSofKcUw8tyKkccKF,https://api.spotify.com/v1/audio-analysis/1AHf5FSofKcUw8tyKkccKF,177627,4
34,PRETTYMUCH,Phases,0.77,0.636,11,-6.724,0,0.131,0.169,0,0.0676,0.492,105.93,audio_features,3je88Q4OvTqIx7BFRFYvRA,spotify:track:3je88Q4OvTqIx7BFRFYvRA,https://api.spotify.com/v1/tracks/3je88Q4OvTqIx7BFRFYvRA,https://api.spotify.com/v1/audio-analysis/3je88Q4OvTqIx7BFRFYvRA,215760,4
35,ATB,Your Love (9PM),0.669,0.784,7,-5.603,1,0.112,0.194,6.28e-06,0.115,0.517,125.993,audio_features,5YaskwnGDZFDRipaqzbwQx,spotify:track:5YaskwnGDZFDRipaqzbwQx,https://api.spotify.com/v1/tracks/5YaskwnGDZFDRipaqzbwQx,https://api.spotify.com/v1/audio-analysis/5YaskwnGDZFDRipaqzbwQx,150053,4
36,Purity Ring,begin again - HEALTH Remix,0.577,0.521,2,-8.185,1,0.0362,0.00306,0.0521,0.0875,0.0543,100.007,audio_features,1tSZL8hRpFVMa4eKOs3f7Z,spotify:track:1tSZL8hRpFVMa4eKOs3f7Z,https://api.spotify.com/v1/tracks/1tSZL8hRpFVMa4eKOs3f7Z,https://api.spotify.com/v1/audio-analysis/1tSZL8hRpFVMa4eKOs3f7Z,257277,4
