,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
40,Daniel Caesar,Best Part (feat. H.E.R.),0.473,0.371,4,-10.219,0,0.0405,0.793,0,0.109,0.413,75.205,audio_features,4OBZT9EnhYIV17t4pGw7ig,spotify:track:4OBZT9EnhYIV17t4pGw7ig,https://api.spotify.com/v1/tracks/4OBZT9EnhYIV17t4pGw7ig,https://api.spotify.com/v1/audio-analysis/4OBZT9EnhYIV17t4pGw7ig,209400,4
41,Zion.T,Hello Tutorial,0.739,0.348,0,-7.477,1,0.0613,0.675,0,0.326,0.498,98.047,audio_features,36UcoqH2P24RtSGbLKLK3w,spotify:track:36UcoqH2P24RtSGbLKLK3w,https://api.spotify.com/v1/tracks/36UcoqH2P24RtSGbLKLK3w,https://api.spotify.com/v1/audio-analysis/36UcoqH2P24RtSGbLKLK3w,202343,4
42,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",0.675,0.597,5,-11.329,1,0.0337,0.0534,0,0.0986,0.828,108.875,audio_features,2eF8pWbiivYsYRpbntYsnc,spotify:track:2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/tracks/2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/audio-analysis/2eF8pWbiivYsYRpbntYsnc,161160,4
43,Olivia Rodrigo,traitor,0.38,0.339,3,-7.885,1,0.0338,0.691,0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4
44,Bruno Mars,Grenade - Acoustic,0.639,0.393,2,-6.314,0,0.0309,0.819,0,0.0891,0.363,97.917,audio_features,7Cj2tT0m2SBeIO1PsGfk8A,spotify:track:7Cj2tT0m2SBeIO1PsGfk8A,https://api.spotify.com/v1/tracks/7Cj2tT0m2SBeIO1PsGfk8A,https://api.spotify.com/v1/audio-analysis/7Cj2tT0m2SBeIO1PsGfk8A,249535,4
45,Bruno Mars,Just the Way You Are,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,audio_features,7BqBn9nzAq8spo5e7cZ0dJ,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,https://api.spotify.com/v1/tracks/7BqBn9nzAq8spo5e7cZ0dJ,https://api.spotify.com/v1/audio-analysis/7BqBn9nzAq8spo5e7cZ0dJ,220734,4
46,Daniel Caesar,Blessed,0.448,0.263,11,-11.98,1,0.0373,0.824,1.91e-06,0.106,0.451,109.889,audio_features,0KyzXQhY2yzcb1FYCHkZc2,spotify:track:0KyzXQhY2yzcb1FYCHkZc2,https://api.spotify.com/v1/tracks/0KyzXQhY2yzcb1FYCHkZc2,https://api.spotify.com/v1/audio-analysis/0KyzXQhY2yzcb1FYCHkZc2,241371,1
47,Daniel Caesar,LOVE AGAIN,0.553,0.441,5,-6.411,1,0.0918,0.41,2.57e-06,0.107,0.525,76.988,audio_features,2fhePAlCSsJplwkjqMYpVm,spotify:track:2fhePAlCSsJplwkjqMYpVm,https://api.spotify.com/v1/tracks/2fhePAlCSsJplwkjqMYpVm,https://api.spotify.com/v1/audio-analysis/2fhePAlCSsJplwkjqMYpVm,214278,4
48,Justin Bieber,Intentions - Acoustic,0.711,0.411,9,-6.657,1,0.035,0.594,0,0.0903,0.791,73.997,audio_features,6VkmdRz8YgHFQV3ZNTJAWU,spotify:track:6VkmdRz8YgHFQV3ZNTJAWU,https://api.spotify.com/v1/tracks/6VkmdRz8YgHFQV3ZNTJAWU,https://api.spotify.com/v1/audio-analysis/6VkmdRz8YgHFQV3ZNTJAWU,160612,4
49,The Jackson 5,I Want You Back,0.469,0.538,8,-13.559,1,0.0571,0.305,0.00012,0.37,0.886,196.605,audio_features,5LxvwujISqiB8vpRYv887S,spotify:track:5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/tracks/5LxvwujISqiB8vpRYv887S,https://api.spotify.com/v1/audio-analysis/5LxvwujISqiB8vpRYv887S,176333,4
50,ABBA,Dancing Queen,0.543,0.87,9,-6.514,1,0.0428,0.358,0.000939,0.792,0.754,100.804,audio_features,0GjEhVFGZW8afUYGChu3Rr,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr,230400,4
51,Journey,Don't Stop Believin',0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,audio_features,4bHsxqR3GMrXTxEPLuK5ue,spotify:track:4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue,https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue,250987,4
52,Rascal Flatts,Life is a Highway,0.562,0.934,5,-5.562,1,0.0607,0.00211,0,0.199,0.558,103.042,audio_features,5gB2IrxOCX2j9bMnHKP38i,spotify:track:5gB2IrxOCX2j9bMnHKP38i,https://api.spotify.com/v1/tracks/5gB2IrxOCX2j9bMnHKP38i,https://api.spotify.com/v1/audio-analysis/5gB2IrxOCX2j9bMnHKP38i,275640,4
53,The White Stripes,Seven Nation Army,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,audio_features,3dPQuX8Gs42Y7b454ybpMR,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,232107,4
54,HONNE,Day 1 ◑,0.503,0.581,6,-7.007,1,0.0881,0.21,0.000708,0.257,0.633,94.555,audio_features,6ZzYETKetIfNUsZUb23jgG,spotify:track:6ZzYETKetIfNUsZUb23jgG,https://api.spotify.com/v1/tracks/6ZzYETKetIfNUsZUb23jgG,https://api.spotify.com/v1/audio-analysis/6ZzYETKetIfNUsZUb23jgG,233601,4
