,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist
96,Dreamville,Sunset (with J. Cole feat. Young Nudy),0.923,0.382,1,-7.117,1,0.199,0.153,0,0.151,0.406,129.927,audio_features,1RSjLwX6inbcfF23cuqgrM,spotify:track:1RSjLwX6inbcfF23cuqgrM,https://api.spotify.com/v1/tracks/1RSjLwX6inbcfF23cuqgrM,https://api.spotify.com/v1/audio-analysis/1RSjLwX6inbcfF23cuqgrM,178373,4,abdul
97,JAY-Z,Big Pimpin',0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,audio_features,7m97yKVzPpXV9Z4ezEziOD,spotify:track:7m97yKVzPpXV9Z4ezEziOD,https://api.spotify.com/v1/tracks/7m97yKVzPpXV9Z4ezEziOD,https://api.spotify.com/v1/audio-analysis/7m97yKVzPpXV9Z4ezEziOD,283067,4,abdul
98,Nas,Cops Shot The Kid,0.442,0.71,7,-5.142,1,0.684,0.0264,0,0.618,0.508,205.116,audio_features,1vi9adPJiD4d22ybGp25hy,spotify:track:1vi9adPJiD4d22ybGp25hy,https://api.spotify.com/v1/tracks/1vi9adPJiD4d22ybGp25hy,https://api.spotify.com/v1/audio-analysis/1vi9adPJiD4d22ybGp25hy,167908,4,abdul
99,Skepta,Ladies Hit Squad,0.6,0.589,0,-8.812,1,0.117,0.0977,0,0.167,0.211,124.913,audio_features,3tvirIJWdwDQmUyKt4jYpG,spotify:track:3tvirIJWdwDQmUyKt4jYpG,https://api.spotify.com/v1/tracks/3tvirIJWdwDQmUyKt4jYpG,https://api.spotify.com/v1/audio-analysis/3tvirIJWdwDQmUyKt4jYpG,279593,4,abdul
0,Kanye West,Jail,0.458,0.571,4,-6.739,1,0.0949,0.535,0.000305,0.0846,0.586,110.013,audio_features,6d8HN8MqqbqrEUI2bvx0aG,spotify:track:6d8HN8MqqbqrEUI2bvx0aG,https://api.spotify.com/v1/tracks/6d8HN8MqqbqrEUI2bvx0aG,https://api.spotify.com/v1/audio-analysis/6d8HN8MqqbqrEUI2bvx0aG,297000,4,alex
1,Kanye West,Hurricane,0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,audio_features,6Hfu9sc7jvv6coyy2LlzBF,spotify:track:6Hfu9sc7jvv6coyy2LlzBF,https://api.spotify.com/v1/tracks/6Hfu9sc7jvv6coyy2LlzBF,https://api.spotify.com/v1/audio-analysis/6Hfu9sc7jvv6coyy2LlzBF,243187,4,alex
2,Kanye West,Praise God,0.798,0.545,1,-6.466,1,0.168,0.00904,9.48e-05,0.258,0.212,118.029,audio_features,0WSEq9Ko4kFPt8yo3ICd6T,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,https://api.spotify.com/v1/tracks/0WSEq9Ko4kFPt8yo3ICd6T,https://api.spotify.com/v1/audio-analysis/0WSEq9Ko4kFPt8yo3ICd6T,226653,4,alex
3,Kanye West,Off The Grid,0.546,0.64,8,-5.582,1,0.37,0.0438,0,0.137,0.63,137.728,audio_features,6LNoArVBBVZzUTUiAX2aKO,spotify:track:6LNoArVBBVZzUTUiAX2aKO,https://api.spotify.com/v1/tracks/6LNoArVBBVZzUTUiAX2aKO,https://api.spotify.com/v1/audio-analysis/6LNoArVBBVZzUTUiAX2aKO,339250,4,alex
4,Kanye West,Ok Ok,0.738,0.471,11,-9.208,0,0.402,0.319,1.28e-06,0.13,0.283,107.98,audio_features,5LuXsO34x6KVlL8OWsxRqk,spotify:track:5LuXsO34x6KVlL8OWsxRqk,https://api.spotify.com/v1/tracks/5LuXsO34x6KVlL8OWsxRqk,https://api.spotify.com/v1/audio-analysis/5LuXsO34x6KVlL8OWsxRqk,204630,5,alex
5,Kanye West,Pure Souls,0.381,0.528,5,-6.997,1,0.0449,0.102,0,0.269,0.256,97.207,audio_features,5aqUqSq0SqGBAqEn27PEzc,spotify:track:5aqUqSq0SqGBAqEn27PEzc,https://api.spotify.com/v1/tracks/5aqUqSq0SqGBAqEn27PEzc,https://api.spotify.com/v1/audio-analysis/5aqUqSq0SqGBAqEn27PEzc,358622,4,alex
6,Kanye West,Come to Life,0.44,0.465,3,-6.592,1,0.0318,0.689,1.26e-06,0.384,0.241,126.937,audio_features,5xvXeuxISyXJDRbZZf4uzd,spotify:track:5xvXeuxISyXJDRbZZf4uzd,https://api.spotify.com/v1/tracks/5xvXeuxISyXJDRbZZf4uzd,https://api.spotify.com/v1/audio-analysis/5xvXeuxISyXJDRbZZf4uzd,310394,4,alex
7,Zion.T,The Song,0.815,0.613,7,-5.009,1,0.0323,0.716,0,0.114,0.46,94.979,audio_features,2jiC29jZ2zaaP5vOR6xa1M,spotify:track:2jiC29jZ2zaaP5vOR6xa1M,https://api.spotify.com/v1/tracks/2jiC29jZ2zaaP5vOR6xa1M,https://api.spotify.com/v1/audio-analysis/2jiC29jZ2zaaP5vOR6xa1M,216627,4,alex
8,G-DRAGON,"무제(無題) (Untitled, 2014)",0.583,0.461,4,-5.153,1,0.0321,0.785,1.7e-05,0.13,0.263,79.826,audio_features,16BS342F89MDqouSxgLaUK,spotify:track:16BS342F89MDqouSxgLaUK,https://api.spotify.com/v1/tracks/16BS342F89MDqouSxgLaUK,https://api.spotify.com/v1/audio-analysis/16BS342F89MDqouSxgLaUK,222868,4,alex
